=== 2048 DQN長時間学習開始 ===
開始時刻: Thu Dec 18 04:16:50 UTC 2025
エピソード数: 50000
保存間隔: 1000エピソード
ログファイル: logs/training_20251218_041650.log
================================
学習プロセスID: 947990

=== 学習がバックグラウンドで開始されました ===

進捗確認方法:
  tail -f logs/training_20251218_041650.log

最新の統計確認:
  grep 'Episode' logs/training_20251218_041650.log | tail -10

プロセス確認:
  ps -p 947990

学習を停止する場合:
  kill 947990

モデルテスト（別ターミナルで実行可能）:
  source .venv/bin/activate
  python training/reinforcement_learning/test.py --games 100

最良モデルのテスト:
  python training/reinforcement_learning/test.py --model checkpoints/best_model.pth --games 100
================================
Using device: cpu
Resumed from episode 4500, steps 546412
Episode  9600 | Avg Score:   1270.3 | Avg Max Tile:  114.7 | Loss: 3.5332 | LR: 2.28e-04 | Eps: 0.092
Episode  9700 | Avg Score:   1350.0 | Avg Max Tile:  123.5 | Loss: 3.6387 | LR: 2.23e-04 | Eps: 0.090
Episode  9800 | Avg Score:   1529.1 | Avg Max Tile:  132.8 | Loss: 8.6932 | LR: 2.18e-04 | Eps: 0.088
Episode  9900 | Avg Score:   1204.1 | Avg Max Tile:  108.6 | Loss: 3.4661 | LR: 2.13e-04 | Eps: 0.086
Checkpoint saved (episode 10000, best avg: 1547.5)
Episode 10000 | Avg Score:   1137.3 | Avg Max Tile:  105.0 | Loss: 3.4987 | LR: 2.07e-04 | Eps: 0.084
Episode 10100 | Avg Score:   1224.8 | Avg Max Tile:  112.6 | Loss: 5.2168 | LR: 2.02e-04 | Eps: 0.082
Episode 10200 | Avg Score:   1149.4 | Avg Max Tile:  102.6 | Loss: 4.0918 | LR: 1.96e-04 | Eps: 0.080
Episode 10300 | Avg Score:   1135.0 | Avg Max Tile:  104.0 | Loss: 5.1574 | LR: 1.90e-04 | Eps: 0.078
Episode 10400 | Avg Score:   1230.9 | Avg Max Tile:  114.1 | Loss: 14.3464 | LR: 1.85e-04 | Eps: 0.077
Episode 10500 | Avg Score:   1556.7 | Avg Max Tile:  133.4 | Loss: 19.5654 | LR: 1.79e-04 | Eps: 0.075
Episode 10600 | Avg Score:   1726.4 | Avg Max Tile:  149.4 | Loss: 34.3137 | LR: 1.73e-04 | Eps: 0.072
Episode 10700 | Avg Score:   1705.6 | Avg Max Tile:  143.4 | Loss: 24.1187 | LR: 1.67e-04 | Eps: 0.070
Episode 10800 | Avg Score:   1347.2 | Avg Max Tile:  120.6 | Loss: 29.0935 | LR: 1.62e-04 | Eps: 0.069
Episode 10900 | Avg Score:   1443.5 | Avg Max Tile:  128.6 | Loss: 33.1416 | LR: 1.56e-04 | Eps: 0.067
Checkpoint saved (episode 11000, best avg: 1547.5)
Episode 11000 | Avg Score:   1347.4 | Avg Max Tile:  120.6 | Loss: 13.9164 | LR: 1.50e-04 | Eps: 0.066
Episode 11100 | Avg Score:   1185.2 | Avg Max Tile:  109.4 | Loss: 36.4156 | LR: 1.44e-04 | Eps: 0.064
Episode 11200 | Avg Score:   1297.1 | Avg Max Tile:  113.4 | Loss: 183.2269 | LR: 1.38e-04 | Eps: 0.063
Episode 11300 | Avg Score:   1436.7 | Avg Max Tile:  127.4 | Loss: 58.2510 | LR: 1.32e-04 | Eps: 0.061
Episode 11400 | Avg Score:   1481.6 | Avg Max Tile:  132.5 | Loss: 106.9689 | LR: 1.26e-04 | Eps: 0.060
Episode 11500 | Avg Score:   1343.2 | Avg Max Tile:  118.1 | Loss: 136.7980 | LR: 1.21e-04 | Eps: 0.058
Episode 11600 | Avg Score:   1938.8 | Avg Max Tile:  160.6 | Loss: 94.1054 | LR: 1.15e-04 | Eps: 0.057
Episode 11700 | Avg Score:   1685.6 | Avg Max Tile:  145.6 | Loss: 380.7775 | LR: 1.09e-04 | Eps: 0.055
Episode 11800 | Avg Score:   1735.5 | Avg Max Tile:  142.1 | Loss: 94.0151 | LR: 1.03e-04 | Eps: 0.054
Episode 11900 | Avg Score:   1708.8 | Avg Max Tile:  141.3 | Loss: 200.3988 | LR: 9.79e-05 | Eps: 0.052
Checkpoint saved (episode 12000, best avg: 1547.5)
Episode 12000 | Avg Score:   1356.3 | Avg Max Tile:  117.8 | Loss: 124.1862 | LR: 9.24e-05 | Eps: 0.051
Episode 12100 | Avg Score:   1885.4 | Avg Max Tile:  155.5 | Loss: 136.8172 | LR: 8.70e-05 | Eps: 0.050
Episode 12200 | Avg Score:   1894.4 | Avg Max Tile:  148.8 | Loss: 129.8438 | LR: 8.17e-05 | Eps: 0.048
Episode 12300 | Avg Score:   1659.5 | Avg Max Tile:  138.2 | Loss: 4390.8960 | LR: 7.65e-05 | Eps: 0.047
Episode 12400 | Avg Score:   1629.7 | Avg Max Tile:  137.3 | Loss: 140.8701 | LR: 7.14e-05 | Eps: 0.046
Episode 12500 | Avg Score:   1756.9 | Avg Max Tile:  147.7 | Loss: 972.5375 | LR: 6.65e-05 | Eps: 0.045
Episode 12600 | Avg Score:   1749.4 | Avg Max Tile:  149.3 | Loss: 363.7208 | LR: 6.16e-05 | Eps: 0.043
Episode 12700 | Avg Score:   1708.4 | Avg Max Tile:  138.2 | Loss: 853.3380 | LR: 5.70e-05 | Eps: 0.042
Episode 12800 | Avg Score:   1775.3 | Avg Max Tile:  141.4 | Loss: 353.1793 | LR: 5.24e-05 | Eps: 0.041
Episode 12900 | Avg Score:   1662.2 | Avg Max Tile:  135.0 | Loss: 506.7536 | LR: 4.80e-05 | Eps: 0.040
Checkpoint saved (episode 13000, best avg: 1790.9)
Episode 13000 | Avg Score:   1790.9 | Avg Max Tile:  148.2 | Loss: 377.1407 | LR: 4.38e-05 | Eps: 0.039
Episode 13100 | Avg Score:   1782.2 | Avg Max Tile:  149.8 | Loss: 130.8797 | LR: 3.97e-05 | Eps: 0.038
Episode 13200 | Avg Score:   1802.8 | Avg Max Tile:  147.0 | Loss: 213.0838 | LR: 3.58e-05 | Eps: 0.037
Episode 13300 | Avg Score:   1884.7 | Avg Max Tile:  159.4 | Loss: 155.5720 | LR: 3.21e-05 | Eps: 0.036
Episode 13400 | Avg Score:   1980.2 | Avg Max Tile:  173.4 | Loss: 227.1628 | LR: 2.85e-05 | Eps: 0.035
Episode 13500 | Avg Score:   1987.8 | Avg Max Tile:  167.0 | Loss: 449.3951 | LR: 2.51e-05 | Eps: 0.035
Episode 13600 | Avg Score:   1957.0 | Avg Max Tile:  160.0 | Loss: 81.3346 | LR: 2.20e-05 | Eps: 0.034
Episode 13700 | Avg Score:   1959.2 | Avg Max Tile:  169.9 | Loss: 143.6003 | LR: 1.90e-05 | Eps: 0.033
Episode 13800 | Avg Score:   1949.4 | Avg Max Tile:  158.1 | Loss: 140.5329 | LR: 1.62e-05 | Eps: 0.032
Episode 13900 | Avg Score:   1993.0 | Avg Max Tile:  162.2 | Loss: 578.2349 | LR: 1.37e-05 | Eps: 0.031
Checkpoint saved (episode 14000, best avg: 1790.9)
Episode 14000 | Avg Score:   1788.8 | Avg Max Tile:  149.1 | Loss: 166.9889 | LR: 1.13e-05 | Eps: 0.030
Episode 14100 | Avg Score:   1965.2 | Avg Max Tile:  161.9 | Loss: 99.4440 | LR: 9.19e-06 | Eps: 0.030
Episode 14200 | Avg Score:   1964.9 | Avg Max Tile:  160.2 | Loss: 86.9586 | LR: 7.27e-06 | Eps: 0.029
Episode 14300 | Avg Score:   1933.9 | Avg Max Tile:  153.6 | Loss: 68.0300 | LR: 5.57e-06 | Eps: 0.028
Episode 14400 | Avg Score:   2403.6 | Avg Max Tile:  193.9 | Loss: 93.2937 | LR: 4.09e-06 | Eps: 0.028
Episode 14500 | Avg Score:   2250.4 | Avg Max Tile:  179.2 | Loss: 91.1588 | LR: 2.84e-06 | Eps: 0.027
Episode 14600 | Avg Score:   2407.0 | Avg Max Tile:  192.6 | Loss: 410.8551 | LR: 1.81e-06 | Eps: 0.026
Episode 14700 | Avg Score:   2442.0 | Avg Max Tile:  201.9 | Loss: 467.9985 | LR: 1.01e-06 | Eps: 0.026
Episode 14800 | Avg Score:   2444.9 | Avg Max Tile:  199.0 | Loss: 113.3438 | LR: 4.44e-07 | Eps: 0.025
Episode 14900 | Avg Score:   2250.2 | Avg Max Tile:  182.1 | Loss: 116.2197 | LR: 1.07e-07 | Eps: 0.024
Checkpoint saved (episode 15000, best avg: 2349.4)
Episode 15000 | Avg Score:   2349.4 | Avg Max Tile:  188.5 | Loss: 214.5365 | LR: 3.00e-04 | Eps: 0.024
Episode 15100 | Avg Score:   2061.5 | Avg Max Tile:  174.4 | Loss: 91.8662 | LR: 3.00e-04 | Eps: 0.023
Episode 15200 | Avg Score:   2141.8 | Avg Max Tile:  181.4 | Loss: 90.8173 | LR: 3.00e-04 | Eps: 0.023
Episode 15300 | Avg Score:   2237.2 | Avg Max Tile:  176.6 | Loss: 56.9455 | LR: 3.00e-04 | Eps: 0.022
Episode 15400 | Avg Score:   2283.1 | Avg Max Tile:  186.9 | Loss: 81.7022 | LR: 3.00e-04 | Eps: 0.022
Episode 15500 | Avg Score:   2133.5 | Avg Max Tile:  165.4 | Loss: 71.4756 | LR: 2.99e-04 | Eps: 0.021
Episode 15600 | Avg Score:   1992.6 | Avg Max Tile:  159.8 | Loss: 50.6595 | LR: 2.99e-04 | Eps: 0.021
Episode 15700 | Avg Score:   1565.6 | Avg Max Tile:  122.4 | Loss: 94.8458 | LR: 2.99e-04 | Eps: 0.021
Episode 15800 | Avg Score:   1817.8 | Avg Max Tile:  146.6 | Loss: 68.0201 | LR: 2.98e-04 | Eps: 0.020
Episode 15900 | Avg Score:   2053.3 | Avg Max Tile:  165.1 | Loss: 71.5173 | LR: 2.98e-04 | Eps: 0.020
Checkpoint saved (episode 16000, best avg: 2349.4)
Episode 16000 | Avg Score:   2101.5 | Avg Max Tile:  168.8 | Loss: 49.9989 | LR: 2.97e-04 | Eps: 0.019
Episode 16100 | Avg Score:   1977.2 | Avg Max Tile:  159.8 | Loss: 48.9215 | LR: 2.96e-04 | Eps: 0.019
Episode 16200 | Avg Score:   2275.0 | Avg Max Tile:  180.5 | Loss: 52.8027 | LR: 2.96e-04 | Eps: 0.019
Episode 16300 | Avg Score:   2272.6 | Avg Max Tile:  182.7 | Loss: 59.9378 | LR: 2.95e-04 | Eps: 0.018
Episode 16400 | Avg Score:   2376.5 | Avg Max Tile:  196.2 | Loss: 47.9852 | LR: 2.94e-04 | Eps: 0.018
Episode 16500 | Avg Score:   2113.0 | Avg Max Tile:  172.3 | Loss: 43.2975 | LR: 2.94e-04 | Eps: 0.018
Episode 16600 | Avg Score:   2426.7 | Avg Max Tile:  190.1 | Loss: 40.8629 | LR: 2.93e-04 | Eps: 0.017
Episode 16700 | Avg Score:   1998.6 | Avg Max Tile:  154.1 | Loss: 68.5864 | LR: 2.92e-04 | Eps: 0.017
Episode 16800 | Avg Score:   2320.3 | Avg Max Tile:  184.3 | Loss: 65.5155 | LR: 2.91e-04 | Eps: 0.017
Episode 16900 | Avg Score:   2340.4 | Avg Max Tile:  184.3 | Loss: 43.9132 | LR: 2.90e-04 | Eps: 0.017
Checkpoint saved (episode 17000, best avg: 2349.4)
Episode 17000 | Avg Score:   2265.8 | Avg Max Tile:  181.1 | Loss: 36.4905 | LR: 2.89e-04 | Eps: 0.016
Episode 17100 | Avg Score:   2484.0 | Avg Max Tile:  197.4 | Loss: 35.7724 | LR: 2.87e-04 | Eps: 0.016
Episode 17200 | Avg Score:   2271.0 | Avg Max Tile:  183.0 | Loss: 48.9178 | LR: 2.86e-04 | Eps: 0.016
Episode 17300 | Avg Score:   2593.0 | Avg Max Tile:  204.8 | Loss: 27.1881 | LR: 2.85e-04 | Eps: 0.016
Episode 17400 | Avg Score:   2130.3 | Avg Max Tile:  171.5 | Loss: 61.1617 | LR: 2.84e-04 | Eps: 0.015
Episode 17500 | Avg Score:   2420.9 | Avg Max Tile:  195.5 | Loss: 44.4491 | LR: 2.82e-04 | Eps: 0.015
Episode 17600 | Avg Score:   2321.0 | Avg Max Tile:  179.8 | Loss: 26.0540 | LR: 2.81e-04 | Eps: 0.015
